# narkamauka<TAB>taraskievica<TAB>title_be<TAB>revid_be<TAB>title_tarask<TAB>revid_tarask<TAB>similarity
#
# Sentence pairs mined from be.wikipedia.org and be-tarask.wikipedia.org by
# scripts/fetch_parallel_corpus.py. The two wikis are written independently, so
# these are not translations: they are sentences the aligner judged to be the same
# sentence (same token count, >=60% of tokens identical, a clear margin over the
# runner-up). The sample is therefore biased towards short, formulaic sentences.
#
# MEASUREMENT ONLY. Never read by lexicon building, stem mining or model training:
# it exists to measure recall, and a set you have fitted to measures nothing.
# Text is CC BY-SA 4.0; see parallel.README.md.
Аданталогія разглядае пытанні, звязаныя з анатоміяй, фізіялогіяй, паталогіяй і прафілактыкай захворванняў органаў жавання і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі яго існавання.	Аданталёгія разглядае пытаньні, зьвязаныя з анатоміяй, фізыялёгіяй, паталёгіяй і прафіляктыкай захворваньняў органаў жаваньня і падзі, разглядаючы іх у сувязі з агульным станам арганізму чалавека і сацыяльнымі ўмовамі ягонага існаваньня.	Аданталогія	4348209	Аданталёгія	2180876	0.655
Перакладчык перш за ўсё стараўся максімальна дакладна перадаваць змест, і гэта яму ў асноўным удавалася.	Перакладнік перш за ўсё стараўся максымальна дакладна перадаваць зьмест, і гэта яму ў асноўным удавалася.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.800
Праўда, ён не змог знайсці не тое што адэкватныя ці эквівалентныя, але хоць бы ў нейкай ступені блізкія мастацка-вобразныя формы абмалёўкі панскага двара і паводзін маладога Тадэвуша пасля вяртання ў дом пана суддзі.	Праўда, ён ня змог знайсьці не тое што адэкватныя ці эквівалентныя, але хоць бы ў нейкай ступені блізкія мастацка-вобразныя формы абмалёўкі панскага двара й паводзін маладога Тадэвуша пасьля вяртаньня ў дом пана судзьдзі.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.818
Не абышлося таксама без паланізмаў і польскіх сінтаксічных канструкцый.	Не абышлося таксама без палянізмаў і польскіх сынтаксычных канструкцый.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.778
Лёс арыгінала поўнага перакладу тэксту паэмы канчаткова не высветлены.	Лёс арыгінала поўнага перакладу тэксту паэмы канчаткова ня высьветлены.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.778
У 1978 годзе арыгінал адзінаццатай і дванаццатай быліцаў тарашкевічаўскага перакладу, знойдзеных у Вільні, і сем сшыткаў яго копіі, перададзеных яго жонкай Н.	У 1978 г. арыгінал адзінаццатай і дванаццатай быліцаў тарашкевічаўскага перакладу, знойдзеных у Вільні, і сем сшыткаў яго копіі, перададзеных яго жонкай Н.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.952
Тарашкевіч Дзяржаўнаму музею БССР, паступілі ў аддзел рэдкай кнігі і рукапісаў Фундаментальнай бібліятэкі АН БССР.	Тарашкевіч Дзяржаўнаму музэю БССР, паступілі ў аддзел рэдкае кнігі і рукапісаў Фундамэнтальнай бібліятэкі АН БССР.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.800
На выснове гэтых рукапісаў Інстытутам літаратуры АН БССР была падрыхтавана першая поўная публікацыя твора на беларускай мове: Адам Міцкевіч.	На выснове гэтых рукапісаў Інстытутам літаратуры АН БССР была падрыхтаваная першая поўная публікацыя твора на беларускай мове: Адам Міцкевіч.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.947
У пачатку 1984 г. у Польшчы выйшла з друку яшчэ адно выданне тарашкевічаўскага перакладу паэмы: Адам Міцкевіч.	У пачатку 1984 г. у Польшчы выйшла з друку яшчэ адно выданьне тарашкевічаўскага перакладу паэмы: Адам Міцкевіч.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.938
Выданне было падрыхтавана на падставе ксеаграфічнай копіі перакладу.	Выданьне было падрыхтавана на падставе ксэаграфічнай копіі перакладу.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.750
Максім Танк пасля азнаямлення з перакладам назваў яго адным з найлепшых.	Максім Танк пасьля азнаямленьня зь перакладам назваў яго адным з найлепшых.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.727
Вынік працы быў пасмяротна апублікаваны толькі ў 1998, да двухсотгадовага юбілею Міцкевіча.	Вынік працы быў пасьмяротна апублікаваны толькі ў 1998, да двухсотгадовага юбілею Міцкевіча.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.909
Паўторна быў выдадзены ў 2015 годзе ў паўкішэнным фармаце ў серыі "Мая беларуская кніга" выдавецтвам "Папуры".	Паўторна быў выдадзены ў 2015 годзе ў паўкішэнным фармаце ў сэрыі «Мая беларуская кніга» выдавецтвам «Папуры».	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.933
Семяжон захаваў арыгінальную даўжыню радку ў 13 складоў (у некаторых фрагментах скараціў да 11), але паводле колькасці радкоў пераклад атрымаўся амаль на траціну даўжэйшым за арыгінал.	Семяжон захаваў арыгінальную даўжыню радку ў 13 складоў (у некаторых фрагмэнтах скараціў да 11), але паводле колькасьці радкоў пераклад атрымаўся амаль на траціну даўжэйшым за арыгінал.	Пан Тадэвуш	5091897	Пан Тадэвуш	2674344	0.917
Амаль пазбаўленыя дэкору сцены прарэзаны невялікімі прамавугольнымі аконнымі праёмамі і завершаны тонкім прафіляваным карнізам.	Амаль пазбаўленыя дэкору сьцены праразаюцца невялікімі прастакутнымі аконнымі праёмамі і завяршаюцца тонкім прафіляваным карнізам.	Нясвіжская ратуша	5037318	Нясьвіская ратуша	2632593	0.714
У рэспублікі Турцыі няма афіцыйнага герба.	У рэспублікі Турэччына няма афіцыйнага гербу.	Герб Турцыі	4717807	Герб Турэччыны	2337261	0.667
Сімвал на вокладцы турэцкіх пашпартоў — проста зорка і паўмесяц.	Сымбаль на вокладцы турэцкіх пашпартоў — проста зорка і паўмесяц.	Герб Турцыі	4717807	Герб Турэччыны	2337261	0.889
Пераможцам быў праект жывапісца Наміка Ісмаіла Бея.	Пераможцам быў праект жывапісца Намтка Ісмаіла Бэя.	Герб Турцыі	4717807	Герб Турэччыны	2337261	0.714
Аднак, выбар не быў ухвалены як афіцыйны герб.	Аднак выбар ня быў ухвалены як афіцыйны герб.	Герб Турцыі	4717807	Герб Турэччыны	2337261	0.875
Бацькі развяліся, калі ёй было 10 гадоў.	Бацькі разьвяліся, калі ёй было 10 гадоў.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.833
З ранніх гадоў Бэці прыйшлося клапаціцца аб сваіх сёстрах.	З раньніх гадоў Бэты прыйшлося клапаціцца аб сваіх сёстрах.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.778
Год яны змушаныя былі пражыць у дзіцячым доме, пакуль маці, Эдна Піртл, зарабляла грошы для ўтрымання сям’і.	Год яны змушаныя былі пражыць у дзіцячым доме, пакуль маці, Эдна Піртал, зарабляла грошы для ўтрыманьня сям’і.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.882
Паспяховая вучаніца ў школе і каледжы, Пэйдж збіралася абраць прафесію настаўніцы.	Пасьпяховая вучаніца ў школе і каледжы, Пэйдж зьбіралася абраць прафэсыю настаўніцы.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.727
Аднак ужо ўвосень 1940 года яна пачала займацца ў школе акцёрскага майстэрства, марачы стаць актрысай.	Аднак ужо ўвосень 1940 году яна пачала займацца ў школе акторскага майстэрства, марачы стаць акторкай.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.786
У 1943 годзе быў зарэгістраваны шлюб Пэйдж з яе сакурснікам Білі Нілам.	У 1943 годзе быў зарэгістраваны шлюб Пэйдж зь яе аднакурсьнікам Білі Нілам.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.818
У гэты жа час яна зарабляла сабе на хлеб, працуючы сакратаром.	У гэты жа час яна зарабляла сабе на хлеб, працуючы сакратркай.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.909
У 1950 годзе адбылася выпадковая сустрэча Бэці з Джэры Тодам — паліцэйскім, зацікаўленым у фатаграфіі.	У 1950 годзе адбылася выпадковая сустрэча Бэты з Джэры Тодам — паліцыянтам, зацікаўленым у фатаграфіі.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.846
Вельмі хутка Пэйдж набыла папулярнасць у жанры эратычнай фатаграфіі, у тым ліку пазіруючы аголенай.	Вельмі хутка Пэйдж набыла папулярнасьць у жанры эратычнае фатаграфіі, у тым ліку пазіруючы аголенай.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.857
У 1952—1957 гадах Бэці працавала ў якасці мадэлі ў Нью-Ёрку, супрацоўнічаючы з рознымі фатографамі.	У 1952—1957 гадах Бэты працавала ў якасьці мадэлі ў Нью-Ёрку, супрацоўнічаючы з рознымі фатографамі.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.846
Яна актыўна працавала ў хрысціянскіх арганізацыях і нават спрабавала стаць місіянерам у Анголе, аднак царква ёй адмовіла, з-за таго, што ў гэты момант яна была двойчы разведзена.	Яна актыўна працавала ў хрысьціянскіх арганізацыях і нават спрабавала стаць місыянэрам у Анголе, аднак царква ёй адмовіла, з-за таго, што ў гэты момант яна была двойчы разьведзена.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.889
У 1960 годзе Бэці канчаткова вярнулася ў Нэшвіл.	У 1960 годзе Бэты канчаткова вярнулася ў Нэшвіл.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.857
Там быў складзены кароткачасовы шлюб з першым мужам, Білі Нілам.	Тамака быў складзены кароткачасовы шлюб зь першым мужам, Білі Нілам.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.800
У 1967 годзе новым мужам Бэці стаў Гару Леар, аднак і гэты саюз распаўся ў 1972 годзе.	У 1967 годзе новым мужам Бэты стаў Гару Леар, аднак і гэты зьвяз распаўся ў 1972 годзе.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.867
У 1970-х гг. некалькі выданняў выпусцілі кнігі з фатаздымкамі Пэйдж 1950-х, і да яе асобы зноў узнікла вялікая цікавасць.	У 1970-х гг. некалькі выданьняў выпусьцілі кнігі з фатаздымкамі Пэйдж 1950-х, і да яе асобы зноў узьнікла вялікая цікавасьць.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.789
У апошнія гады жыцця Бэці Пэйдж карысталася паслугамі адвакатаў, каб атрымаць грошы, якія зарабляліся іншымі кампаніямі на праектах звязаных з яе імем.	У апошнія гады жыцьця Бэты Пэйдж карысталася паслугамі адвакатаў, каб атрымаць грошы, якія зарабляліся іншымі кампаніямі на праектах, зьвязаных зь яе імем.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.818
У 1979 годзе ў Бэці здарыўся нервовы зрыў.	У 1979 годзе ў Бэты здарыўся нэрвовы зрыў.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.714
Ёй быў пастаўлены дыягназ шызафрэнія, пасля чаго яна правяла 20 месяцаў у псіхіятрычнай лякарні штата.	Ёй быў пастаўлены дыягназ шызафрэнія, пасьля чаго яна правяла 20 месяцаў у псыхіятрычнай лякарні штата.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.857
Апарат штучнага жыццезабеспячэння па рашэнні сваякоў быў адключаны 11 снежня 2008 года.	Апарат штучнага жыцьцезабесьпячэньня па рашэньні сваякоў быў адключаны 11 сьнежня 2008 году.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.600
Аматары Бэці Пэйдж лічаць, што яе эратычныя здымкі сталі адным з асноўных фактараў, які спрыяў развіццю сексуальнай рэвалюцыі ў Амерыцы ў пачатку 1960-х гг.	Прыхільнікі Бэты Пэйдж лічаць, што яе эратычныя здымкі сталі адным з асноўных фактараў, які спрыяў разьвіцьцю сэксуальнай рэвалюцыі ў Амэрыцы ў пачатку 1960-х гг.	Бэці Пэйдж	3652257	Бэці Пэйдж	2549177	0.792
Апроч гэтага, па стане на 2016 год, 10 аб’ектаў на тэрыторыі Беларусі знаходзяцца ў ліку кандыдатаў на ўключэнне ў спіс сусветнай спадчыны.	Акрамя гэтага, паводле стану на 2015 год, 5 аб’ектаў на тэрыторыі Беларусі знаходзяцца ў ліку кандыдатаў на ўключэньне ў сьпіс Сусьветнай спадчыны.	Спіс аб’ектаў Сусветнай спадчыны ЮНЕСКА ў Беларусі	4852068	Сьпіс аб’ектаў Сусьветнай спадчыны ЮНЭСКО ў Беларусі	2233408	0.700
Саюз Савецкіх Сацыялістычных Рэспублік, у які на той момант уваходзіла БССР, ратыфікаваў Канвенцыю пра ахову сусветнай культурнай і прыроднай спадчыны 12 кастрычніка 1988 года.	Саюз Савецкіх Сацыялістычных Рэспублік, у які на той момант уваходзіла БССР, ратыфікаваў Канвэнцыю аб ахове сусьветнай культурнай і прыроднай спадчыны 12 кастрычніка 1988 году.	Спіс аб’ектаў Сусветнай спадчыны ЮНЕСКА ў Беларусі	4852068	Сьпіс аб’ектаў Сусьветнай спадчыны ЮНЭСКО ў Беларусі	2233408	0.773
Зерне ячменю ў цяперашні час шырока выкарыстоўваюць для харчовых, тэхнічных і кармавых мэтаў, у тым ліку ў піваварнай прамысловасці, пры вытворчасці пярловых і ячных круп.	Зерне ячменю ў цяперашні час шырока выкарыстоўваюць для харчовых, тэхнічных і кармавых мэтаў, у тым ліку ў піваварнай прамысловасьці, пры вытворчасьці пярловых і ячменных крупаў.	Ячмень	5010344	Ячмень	2419635	0.840
У артыкуле раскрываецца сэнс транспарту менавіта ў гэтым значэнні.	У артыкуле раскрываецца сэнс транспарту ўласна ў гэтым значэньні.	Транспарт	4894678	Транспарт	2628940	0.778
Транспартнымі сродкамі звычайна з’яўляюцца аўтамабілі, ровары, аўтобусы, цягнікі, самалёты.	Транспартнымі сродкамі звычайна зьяўляюцца аўтамабілі, ровары, аўтобусы, цягнікі, самалёты.	Транспарт	4894678	Транспарт	2628940	0.889
Пад кіраваннем маецца на ўвазе кантроль над сістэмай, напрыклад сігналы святлафора, стрэлкі на чыгуначных шляхах, кіраванне палётамі і г.д., а таксама правілы (сярод іншага, правілы фінансавання сістэмы: платныя дарогі, падатак на паліва і г.д.).	Пад кіраваньнем маецца на ўвазе кантроль над сыстэмай, напрыклад сыгналы сьвятлафора, стрэлкі на чыгуначных шляхах, кіраваньне палётамі і г. д., а таксама правілы (сярод іншага, правілы фінансаваньня сыстэмы: платныя дарогі, падатак на паліва і г. д.).	Транспарт	4894678	Транспарт	2628940	0.806
Транспартны вузел як сістэма — сукупнасць транспартных працэсаў і сродкаў для іх рэалізацыі ў месцах стыкавання двух ці некалькіх магістральных тыпаў транспарта.	Транспартны вузел як сыстэма — сукупнасьць транспартных працэсаў і сродкаў для іх рэалізацыі ў месцах стыкаваньня двух ці некалькіх магістральных тыпаў транспарту.	Транспарт	4894678	Транспарт	2628940	0.810
У транспартнай сістэме вузлы маюць функцыю рэгулявальных клапанаў.	У транспартнай сыстэме вузлы маюць функцыю рэгулявальных клапанаў.	Транспарт	4894678	Транспарт	2628940	0.875
Збой у працы аднаго такога клапана можа выклікаць да праблем для ўсёй сістэмы.	Збой у працы аднаго такога клапана можа выклікаць да праблемаў для ўсёй сыстэмы.	Транспарт	4894678	Транспарт	2628940	0.846
Найбуйны транспартны вузел Расіі — Масква.	Буйнейшы транспартны вузел Расеі — Масква.	Транспарт	4894678	Транспарт	2628940	0.600
Тут перакрыжоўваюцца шляхі пяці тыпаў транспарта: у Маскве сыходзяцца 11 чыгуначных прамянёў, 15 аўтамагістраляў, 5 газаправодаў і 3 нафтаправода; тут ёсць тры рачных порта, пяць аэрапортаў і дзевяць вакзалаў.	Тут перакрыжоўваюцца шляхі пяці тыпаў транспарту: у Маскве сыходзяцца 11 чыгуначных прамянёў, 15 аўтамагістраляў, 5 газаправодаў і 3 нафтаправода; тут ёсьць тры рачных порта, пяць аэрапортаў і дзевяць вакзалаў.	Транспарт	4894678	Транспарт	2628940	0.920
Іншы цікавы прыклад — Уладзівасток, дзе сканчаецца Транссібірская чыгунка і пачынаюцца шматлікія марскія шляхі.	Іншы цікавы прыклад — Уладзівасток, дзе сканчаецца Транссыбірская чыгунка і пачынаюцца шматлікія марскія шляхі.	Транспарт	4894678	Транспарт	2628940	0.923
Буйныя транспартныя вузлы заўсёды з’яўляюцца буйнымі гарадамі.	Буйныя транспартныя вузлы заўсёды зьяўляюцца буйнымі гарадамі.	Транспарт	4894678	Транспарт	2628940	0.857
Справа ў тым, што транспартныя вузлы літаральна прыцягваюць гандаль (эфект, які можна назіраць хоць бы на прыкладзе вакзалаў), тут зручна развіваць прамысловасць (няма праблем з пастаўкамі), ды й самі транспартныя тэрміналы ствараюць шмат рабочых месцаў.	Справа ў тым, што транспартныя вузлы літаральна прыцягваюць гандаль (эфэкт, які можна назіраць хоць бы на прыкладзе вакзалаў), тут зручна разьвіваць прамысловасьць (няма праблем з пастаўкамі), ды і самі транспартныя тэрміналы ствараюць шмат працоўных месцаў.	Транспарт	4894678	Транспарт	2628940	0.857
Шматлікія гарады паўсталі на скрыжаванні наземных ці водных шляхоў, гэта значыць як транспартныя вузлы, а іншыя дагэтуль існуюць за конт гэтай ролі.	Шматлікія гарады паўсталі на скрыжаваньні наземных ці водных шляхоў, гэта значыць як транспартныя вузлы, а іншыя дагэтуль існуюць за конт гэтай ролі.	Транспарт	4894678	Транспарт	2628940	0.955
Першым чынам гэта гарады-парты, але ёсць і меней звыклыя прыклады.	Першым чынам гэта гарады-парты, але ёсьць і меней звыклыя прыклады.	Транспарт	4894678	Транспарт	2628940	0.900
Так, горад Шэнан у Ірландыі асноўным чынам жыве за конт аэрапорта.	Так, горад Шэнан у Ірляндыі асноўным чынам жыве за конт аэрапорта.	Транспарт	4894678	Транспарт	2628940	0.909
Хоць замена досыць развітай сувяззю транспарта тэарэтычна з’яўляецца магчымай (замест асабістага візіту можна было б адправіць тэлеграму, патэлефанаваць, адправіць факс, электроннае паведамленне), але было выяўлена, што гэтыя спосабы камунікацыі ў рэальнасці спараджаюць больш узаемадзеянняў, у тым ліку асабістых.	Хоць замена досыць разьвітай сувязьзю транспарта тэарэтычна зьяўляецца магчымай (замест асабістага візыту можна было б адправіць тэлеграму, патэлефанаваць, адправіць факс, электроннае паведамленьне), але было выяўлена, што гэтыя спосабы камунікацыі ў рэальнасьці спараджаюць больш узаемадзеяньняў, у тым ліку асабістых.	Транспарт	4894678	Транспарт	2628940	0.816
Рост у транспартнай сферы быў бы немагчымы без сувязі, якая жыццёва неабходна для развітых транспартных сістэм — ад чыгунак у выпадку неабходнасці двухбаковага руху па адной каляіне, да кіравання палётамі, дзе патрабуюцца веды пра месцазнаходжанне паветранага судна ў небе.	Рост у транспартнай сфэры быў бы немагчымы без сувязі, якая жыцьцёва неабходна для разьвітых транспартных сыстэмаў — ад чыгунак у выпадку неабходнасьці двухбаковага руху па адной каляіне, да кіраваньня палётамі, дзе патрабуюцца веды пра месцазнаходжаньне паветранага судна ў небе.	Транспарт	4894678	Транспарт	2628940	0.816
Чыннік гэтага — спальванне велізарных аб’ёмаў выкапнёвых тыпаў паліва (у асноўным нафтапрадуктаў, такіх як бензін, газа і дызельнае паліва) у рухавіках унутранага згарання наземных, паветраных і водных транспартных сродкаў.	Чыньнік гэтага — спальваньне велізарных аб’ёмаў выкапнёвых тыпаў паліва (у асноўным нафтапрадуктаў, такіх як бэнзін, газа і дызэльнае паліва) у рухавіках унутранага згараньня наземных, паветраных і водных транспартных сродкаў.	Транспарт	4894678	Транспарт	2628940	0.821
Грамадскі транспарт і безматорныя тыпы транспарта (напрыклад, пешы ход ці ровар) лічацца больш «экалагічнымі», бо іх уклад у пералічаныя праблемы значна менш а то і зусім нулявы.	Грамадзкі транспарт і безматорныя тыпы транспарта (напрыклад, пешы ход ці ровар) лічацца больш «экалягічнымі», бо іх уклад у пералічаныя праблемы значна меншыя, а тое і зусім нулявыя.	Транспарт	4894678	Транспарт	2628940	0.815
Транспартныя сродкі з электрычным прывадам (напрыклад, электрацягнікі ці гібрыдныя аўтамабілі) лічацца больш «кліматычна-нейтральнымі», чым іх аналогі на выкапнёвым паліве.	Транспартныя сродкі з электрычным прывадам (напрыклад, электрацягнікі ці гібрыдныя аўтамабілі) лічацца больш «кліматычна-нэўтральнымі», чым іх аналягі на выкапнёвым паліве.	Транспарт	4894678	Транспарт	2628940	0.895
Транспарт супольнага карыстання не варта блытаць з грамадскім транспартам (грамадскі транспарт з’яўляецца падкатэгорыяй транспарта супольнага карыстання).	Транспарт супольнага карыстаньня ня варта блытаць з грамадзкім транспартам (грамадзкі транспарт зьяўляецца падкатэгорыяй транспарта супольнага карыстанбня).	Транспарт	4894678	Транспарт	2628940	0.625
Транспарт супольнага карыстання абслугоўвае гандаль (перавозіць тавары) і насельніцтва (пасажырскія перавозкі).	Транспарт супольнага карыстанбня абслугоўвае гандаль (перавозіць тавары) і насельніцтва (пасажырскія перавозкі).	Транспарт	4894678	Транспарт	2628940	0.909
Транспарт несупольнага карыстання — унутрывытворчы і ўнутрыведамасны транспарт.	Транспарт несупольнага карыстанбня — унутрывытворчы і ўнутрыведамасны транспарт.	Транспарт	4894678	Транспарт	2628940	0.857
Нарэшце, асабісты транспарт — гэта легкавыя аўтамабілі, веласіпеды, яхты, прыватныя самалёты.	Нарэшце, асабісты транспарт — гэта легкавыя аўтамабілі, ровары, яхты, прыватныя самалёты.	Транспарт	4894678	Транспарт	2628940	0.900
Нават самае прымітыўнае ветразнае судна за суткі пераадольвала ў чатыры-пяць разоў большую адлегласць, чым караван.	Нават самае прымітыўнае ветразнае судна за суткі пераадольвала ў чатыры-пяць разоў большую адлегласьць, чым караван.	Транспарт	4894678	Транспарт	2628940	0.933
Груз на судне быў большым, выдаткі на эксплуатацыю — меншымі.	Груз на судне быў большым, выдаткі на эксплюатацыю — меншымі.	Транспарт	4894678	Транспарт	2628940	0.889
Па ўнутраных водных шляхах перавозяць галоўным чынам масавыя грузы — будаўнічыя матэрыялы, вугаль, руду — перавозка якіх не патрабуе высокай хуткасці (тут адбіваецца канкурэнцыя з больш хуткімі аўтамабільным і чыгуначным транспартам).	Па ўнутраных водных шляхах перавозяць галоўным чынам масавыя грузы — будаўнічыя матэрыялы, вугаль, руду — перавозка якіх не патрабуе высокай хуткасьці (тут адбіваецца канкурэнцыя з больш хуткімі аўтамабільным і чыгуначным транспартам).	Транспарт	4894678	Транспарт	2628940	0.966
Роля воднага транспарта ў пасажырскіх перавозках значна зменшылася, што звязана з яго нізкімі хуткасцямі.	Роля воднага транспарту ў пасажырскіх перавозках значна зьменшылася, што зьвязанае зь яго нізкімі хуткасьцямі.	Транспарт	4894678	Транспарт	2628940	0.643
Выключэнні — хуткасныя судны на падводных крылах (якія часам бяруць на сябе функцыю міжгародных аўтобусаў-экспрэсаў) і судны на паветранай падушцы.	Выключэньні — хуткасныя судны на падводных крылах (якія часам бяруць на сябе функцыю міжгародных аўтобусаў-экспрэсаў) і судны на паветранай падушцы.	Транспарт	4894678	Транспарт	2628940	0.947
Таксама вялікая роля паромаў і круізных лайнераў.	Таксама вялікая роля паромаў і круізных лайнэраў.	Транспарт	4894678	Транспарт	2628940	0.857
Пасля Другой сусветнай вайны аўтамабільны транспарт пачаў ствараць канкурэнцыю чыгунцы.	Пасьля Другой сусьветнай вайны аўтамабільны транспарт пачаў ствараць канкурэнцыю чыгунцы.	Транспарт	4894678	Транспарт	2628940	0.800
Для эксплуатацыі ў гарадах і прыгарадах цяпер выкарыстоўваюцца пераважна нізкападлогавыя гарадскія аўтобусы, а для міжгародных і міжнародных рэйсавых і турыстычных перавозак — міжгародныя і турыстычныя лайнеры.	Для эксплюатацыі ў гарадах і прыгарадах цяпер выкарыстоўваюцца пераважна нізкападлогавыя гарадзкія аўтобусы, а для міжгародных і міжнародных рэйсавых і турыстычных перавозак — міжгародныя і турыстычныя лайнэры.	Транспарт	4894678	Транспарт	2628940	0.880
Апошнія адрозніваюцца ад гарадскіх мадэляў кампаноўкай з падвышаным узроўнем падлогі (для змяшчэння пад ім багажных адсекаў), камфартабельным салонам толькі з месцамі для сядзення, наяўнасцю дадатковых выгод (кухні, гардэроба, туалета).	Апошнія адрозьніваюцца ад гарадзкіх мадэляў кампаноўкай з падвышаным узроўнем падлогі (для зьмяшчэньня пад ім багажных адсекаў), камфартабэльным салёнам толькі зь месцамі для сядзеньня, наяўнасьцю дадатковых выгод (кухні, гардэроба, туалета).	Транспарт	4894678	Транспарт	2628940	0.724
Сёння ў развітых краінах існуе сетка аўтамагістраляў — шматпалосных дарог без скрыжаванняў, дзе дазволены хуткасці руху звыш ста кіламетраў у гадзіну.	Сёньня ў разьвітых краінах існуе сетка аўтамагістраляў — шматпалосных дарог безь перакрыжаваньняў, дзе дазволены хуткасьці руху звыш ста кілямэтраў у гадзіну.	Транспарт	4894678	Транспарт	2628940	0.700
Легкавыя аўтамабілі — самы марнатраўны транспарт у параўнанні з іншымі тыпамі транспарта ў пераліку на выдаткі, неабходныя на перасоўванне аднаго пасажыра.	Легкавыя аўтамабілі — самы марнатраўны транспарт у параўнаньні зь іншымі тыпамі транспарту ў пераліку на выдаткі, неабходныя на перасоўваньне аднаго пасажыра.	Транспарт	4894678	Транспарт	2628940	0.800
Значная экалагічная шкода прычыняецца навакольнаму асяроддзю і грамадству на ўсіх стадыях вытворчасці, эксплуатацыі і ўтылізацыі аўтамабіляў, паліва, маслаў, покрывак, будаўніцтва дарог і іншых аб’ектаў аўтамабільнай інфраструктуры.	Значная экалягічная шкода прычыняецца навакольнаму асяродзьдзю і грамадзтву на ўсіх стадыях вытворчасьці, эксплюатацыі і ўтылізацыі аўтамабіляў, паліва, маслаў, покрывак, будаўніцтва дарогаў і іншых аб’ектаў аўтамабільнай інфраструктуры.	Транспарт	4894678	Транспарт	2628940	0.769
У прыватнасці, вокіслы азоту і серы, якія выкідаюцца ў атмасферу пры спальванні бензіну, выклікаюць кіслотныя дажджы.	У прыватнасьці, вокіслы азоту і серы, якія выкідаюцца ў атмасфэру пры спальваньні бэнзіну, выклікаюць кіслотныя дажджы.	Транспарт	4894678	Транспарт	2628940	0.750
Згодна з дадзенымі камітэта па экалогіі Дзяржаўнай Думы РФ, аўтамабільны парк Расіі да пачатку 2000 года склаў 27,06 млн транспартных сродкаў.	Згодна з дадзенымі камітэта па экалёгіі Дзяржаўнай Думы РФ, аўтамабільны парк Расеі да пачатку 2000 году склаў 27,06 млн транспартных сродкаў.	Транспарт	4894678	Транспарт	2628940	0.842
Велічыня штогадовай экалагічнай шкоды ад функцыянавання транспартнага комплексу РФ складае 3,4 млрд долараў ЗША, ці прыкладна 1,5 % валавага нацыянальнага прадукта.	Велічыня штогадовай экалягічнай шкоды ад функцыянаваньня транспартнага комплексу РФ складае 3,4 млрд даляраў ЗША, ці прыкладна 1,5% валавага нацыянальнага прадукта.	Транспарт	4894678	Транспарт	2628940	0.833
Выкіды забруджвальных рэчываў у атмасферу ад аўтатранспартных сродкаў склалі 12 190,7 тыс. тон.	Выкіды забруджвальных рэчываў у атмасфэру ад аўтатранспартных сродкаў склалі 12 190,7 тыс. тон.	Транспарт	4894678	Транспарт	2628940	0.909
Аднак пасля Другой сусветнай вайны чыгункі пачалі губляць сваё значэнне.	Аднак пасьля Другой сусьветнай вайны чыгункі пачалі губляць сваё значэньне.	Транспарт	4894678	Транспарт	2628940	0.700
